PH,elec,tur,oxy,tem
7.472,3638.531,83.493,3.597,18.916
7.472,3734.562,81.972,3.618,18.905
7.468,3742.914,79.847,3.704,18.897
7.462,3744.137,76.45,3.857,18.89
7.454,3651.873,71.303,3.974,18.875
7.446,3553.204,68.405,3.97,18.891
7.44,3542.886,66.554,3.935,18.922
7.438,3525.985,65.007,3.868,18.937
7.438,3590.124,63.9,3.804,18.929
7.436,3618.431,63.71,3.702,18.895
7.434,3791.236,64.117,3.633,18.848
7.431,3887.378,64.491,3.622,18.79
7.429,3910.306,64.283,3.673,18.735
7.429,3945.509,64.04,3.819,18.7
7.431,3974.673,63.077,4.086,18.701
7.437,3983.53,62.631,4.404,18.737
7.445,3962.612,62.185,4.739,18.79
7.45,3923.924,62.858,4.976,18.831
7.452,3931.828,65.463,5.108,18.869
7.455,3918.057,68.119,5.203,18.892
7.456,3926.792,70.406,5.261,18.898
7.454,3918.758,69.753,5.326,18.883
7.449,3940.426,67.556,5.338,18.844
7.444,3918.061,62.48,5.363,18.776
7.439,3834.579,56.347,5.42,18.685
7.428,3734.582,50.726,5.462,18.58
7.417,3616.861,46.202,5.492,18.468
7.405,3502.877,43.796,5.474,18.368
7.395,3380.377,42.822,5.454,18.283
7.384,3331.472,42.858,5.325,18.202
7.375,3293.791,45.299,5.113,18.124
7.369,3273.94,50.196,4.844,18.04
7.367,3246.729,55.915,4.567,17.967
7.361,3250.539,59.286,4.323,17.899
7.357,3281.978,62.911,4.156,17.835
7.355,3326.865,67.79,4.043,17.794
7.355,3368.664,71.457,4.004,17.813
7.354,3457.445,69.546,4.078,17.916
7.355,3609.11,65.085,4.242,18.094
7.356,3743.105,59.597,4.398,18.304
7.355,3832.197,53.791,4.423,18.487
7.351,3868.953,48.683,4.353,18.601
7.346,3858.187,44.883,4.219,18.648
7.343,3814.164,42.162,4.013,18.624
7.34,3758.505,41.11,3.815,18.561
7.337,3703.953,41.368,3.633,18.468
7.335,3734.209,41.798,3.547,18.373
7.334,3766.56,42.34,3.528,18.286
7.333,3780.482,42.368,3.564,18.201
7.331,3772.952,42.47,3.653,18.126
7.329,3753.055,42.504,3.809,18.067
7.327,3759.141,42.273,4.047,18.03
7.324,3757.654,41.706,4.315,18.016
7.319,3743.67,41.069,4.543,17.988
7.318,3743.044,39.551,4.573,17.932
7.319,3739.805,38.245,4.471,17.856
7.321,3722.414,37.112,4.347,17.769
7.321,3695.135,36.005,4.25,17.687
7.322,3653.204,34.867,4.231,17.628
7.322,3580.477,33.438,4.308,17.624
7.323,3479.312,32.145,4.507,17.677
7.323,3355.874,30.981,4.805,17.777
7.321,3321.068,30.64,5.016,17.897
7.322,3339.378,30.198,5.226,18.027
7.324,3368.99,30.158,5.538,18.157
7.325,3382.185,30.744,5.804,18.264
7.326,3448.601,32.226,5.983,18.348
7.325,3518.581,33.69,5.797,18.369
7.321,3587.563,34.496,5.204,18.307
7.319,3674.129,35.972,4.568,18.236
7.319,3785.161,38.361,4.041,18.179
7.32,3871.075,41.4,3.641,18.138
7.322,3924.861,44.858,3.388,18.105
7.322,3940.088,48.302,3.361,18.073
7.32,3890.58,51.213,3.514,18.032
7.315,3784.683,53.19,3.787,17.976
7.312,3673.344,52.717,3.889,17.911
7.312,3634.398,50.311,3.833,17.848
7.313,3676.082,46.729,3.628,17.805
7.315,3762.862,43.774,3.392,17.768
7.318,3765.1,41.044,3.226,17.682
7.32,3703.821,38.377,3.188,17.543
7.319,3681.485,36.417,3.256,17.42
7.315,3706.368,35.439,3.357,17.363
7.31,3718.018,34.976,3.504,17.373
7.306,3736.22,35.466,3.582,17.433
7.304,3764.618,36.546,3.545,17.515
7.305,3802.948,38.067,3.58,17.618
7.311,3850.381,39.967,3.701,17.731
7.324,3880.803,43.318,3.99,17.835
7.347,3918.058,48.037,4.39,17.935
7.384,4060.698,54.148,4.841,18.021
7.436,4220.802,59.612,5.25,18.071
7.478,4354.53,63.606,5.479,18.076
7.501,4455.422,65.703,5.358,18.054
7.514,4501.682,66.124,5.194,18.025
7.514,4536.41,64.452,4.939,17.992
7.513,4527.681,61.25,4.769,17.954
7.512,4504.587,56.579,4.676,17.912
7.503,4499.914,52.333,4.515,17.891
7.485,4536.33,50.687,4.239,17.886
7.471,4558.023,48.643,4.029,17.864
7.46,4583.573,45.897,3.894,17.833
7.45,4622.946,43.208,3.714,17.824
7.45,4619.431,40.851,3.725,17.775
7.457,4569.934,39.015,3.825,17.68
7.474,4483.922,38.055,4.11,17.569
7.499,4377.413,38.213,4.523,17.493
7.523,4289.087,39.435,4.901,17.49
7.548,4246.898,41.555,5.226,17.554
7.579,4236.708,43.252,5.544,17.68
7.629,4242.185,44.706,6.041,17.861
7.71,4239.997,44.948,6.878,18.089
7.807,4236.225,44.02,7.841,18.344
7.862,4231.792,42.548,8.366,18.488
7.867,4249.932,41.205,8.379,18.502
7.855,4276.259,41.32,8.286,18.461
7.855,4288.11,43.648,8.276,18.456
7.853,4279.451,46.633,8.212,18.455
7.854,4244.184,50.622,8.113,18.492
7.858,4158.805,55.495,7.971,18.578
7.838,4017.584,58.863,7.609,18.65
7.787,3800.021,58.333,7.059,18.655
7.723,3508.326,52.238,6.537,18.6
7.663,3178.396,44.02,6.183,18.489
7.614,2951.767,38.587,5.913,18.381
7.575,2844.07,36.421,5.67,18.307
7.546,2831.25,35.673,5.366,18.272
7.523,2844.833,35.294,5.086,18.226
7.507,2855.361,35.004,4.879,18.149
7.497,2879.488,35.304,4.761,18.077
7.489,2963.189,38.152,4.65,18.089
7.485,3102.45,43.931,4.553,18.207
7.482,3283.394,53.502,4.432,18.393
7.486,3405.265,64.212,4.395,18.518
7.496,3466.563,73.371,4.442,18.594
7.504,3509.604,77.216,4.447,18.608
7.506,3548.02,77.11,4.337,18.563
7.515,3554.821,75.504,4.352,18.472
7.525,3538.856,72.185,4.415,18.35
7.537,3507.51,68.322,4.536,18.21
7.546,3469.35,64.906,4.641,18.088
7.551,3430.907,62.145,4.72,17.991
7.553,3416.55,59.52,4.77,17.912
7.552,3440.865,56.71,4.834,17.863
7.547,3521.35,53.727,4.878,17.821
7.54,3651.936,50.69,4.901,17.804
7.533,3737.927,47.744,4.931,17.745
7.53,3743.273,45.673,4.911,17.617
7.526,3716.369,45.172,4.892,17.486
7.526,3678.856,46.128,4.899,17.374
7.529,3665.278,48.256,4.943,17.317
7.533,3703.587,50.975,4.972,17.348
7.541,3795.997,54.539,4.986,17.468
