tem,tur,elec,PH,oxy
18.9,83.5,3638.5,7.5,3.6
18.9,82,3734.6,7.5,3.6
18.9,79.8,3742.9,7.5,3.7
18.9,76.4,3744.1,7.5,3.9
18.9,71.3,3651.9,7.5,4
18.9,68.4,3553.2,7.4,4
18.9,66.6,3542.9,7.4,3.9
18.9,65,3526,7.4,3.9
18.9,63.9,3590.1,7.4,3.8
18.9,63.7,3618.4,7.4,3.7
18.8,64.1,3791.2,7.4,3.6
18.8,64.5,3887.4,7.4,3.6
18.7,64.3,3910.3,7.4,3.7
18.7,64,3945.5,7.4,3.8
18.7,63.1,3974.7,7.4,4.1
18.7,62.6,3983.5,7.4,4.4
18.8,62.2,3962.6,7.4,4.7
18.8,62.9,3923.9,7.4,5
18.9,65.5,3931.8,7.5,5.1
18.9,68.1,3918.1,7.5,5.2
18.9,70.4,3926.8,7.5,5.3
18.9,69.8,3918.8,7.5,5.3
18.8,67.6,3940.4,7.4,5.3
18.8,62.5,3918.1,7.4,5.4
18.7,56.3,3834.6,7.4,5.4
18.6,50.7,3734.6,7.4,5.5
18.5,46.2,3616.9,7.4,5.5
18.4,43.8,3502.9,7.4,5.5
18.3,42.8,3380.4,7.4,5.5
18.2,42.9,3331.5,7.4,5.3
18.1,45.3,3293.8,7.4,5.1
18,50.2,3273.9,7.4,4.8
18,55.9,3246.7,7.4,4.6
17.9,59.3,3250.5,7.4,4.3
17.8,62.9,3282,7.4,4.2
17.8,67.8,3326.9,7.4,4
17.8,71.5,3368.7,7.4,4
17.9,69.5,3457.4,7.4,4.1
18.1,65.1,3609.1,7.4,4.2
18.3,59.6,3743.1,7.4,4.4
18.5,53.8,3832.2,7.4,4.4
18.6,48.7,3869,7.4,4.4
18.6,44.9,3858.2,7.3,4.2
18.6,42.2,3814.2,7.3,4
18.6,41.1,3758.5,7.3,3.8
18.5,41.4,3704,7.3,3.6
18.4,41.8,3734.2,7.3,3.5
18.3,42.3,3766.6,7.3,3.5
18.2,42.4,3780.5,7.3,3.6
18.1,42.5,3773,7.3,3.7
18.1,42.5,3753.1,7.3,3.8
18,42.3,3759.1,7.3,4
18,41.7,3757.7,7.3,4.3
18,41.1,3743.7,7.3,4.5
17.9,39.6,3743,7.3,4.6
17.9,38.2,3739.8,7.3,4.5
17.8,37.1,3722.4,7.3,4.3
17.7,36,3695.1,7.3,4.3
17.6,34.9,3653.2,7.3,4.2
17.6,33.4,3580.5,7.3,4.3
17.7,32.1,3479.3,7.3,4.5
17.8,31,3355.9,7.3,4.8
17.9,30.6,3321.1,7.3,5
18,30.2,3339.4,7.3,5.2
