tem,PH,elec,tur,oxy
18,7.3,3890.6,51.2,3.5
18,7.3,3784.7,53.2,3.8
17.9,7.3,3673.3,52.7,3.9
17.8,7.3,3634.4,50.3,3.8
17.8,7.3,3676.1,46.7,3.6
17.8,7.3,3762.9,43.8,3.4
17.7,7.3,3765.1,41,3.2
17.5,7.3,3703.8,38.4,3.2
17.4,7.3,3681.5,36.4,3.3
17.4,7.3,3706.4,35.4,3.4
17.4,7.3,3718,35,3.5
17.4,7.3,3736.2,35.5,3.6
17.5,7.3,3764.6,36.5,3.5
17.6,7.3,3802.9,38.1,3.6
17.7,7.3,3850.4,40,3.7
17.8,7.3,3880.8,43.3,4
17.9,7.3,3918.1,48,4.4
18,7.4,4060.7,54.1,4.8
18.1,7.4,4220.8,59.6,5.2
18.1,7.5,4354.5,63.6,5.5
18.1,7.5,4455.4,65.7,5.4
18,7.5,4501.7,66.1,5.2
18,7.5,4536.4,64.5,4.9
18,7.5,4527.7,61.2,4.8
17.9,7.5,4504.6,56.6,4.7
17.9,7.5,4499.9,52.3,4.5
17.9,7.5,4536.3,50.7,4.2
17.9,7.5,4558,48.6,4
17.8,7.5,4583.6,45.9,3.9
17.8,7.4,4622.9,43.2,3.7
17.8,7.5,4619.4,40.9,3.7
17.7,7.5,4569.9,39,3.8
17.6,7.5,4483.9,38.1,4.1
17.5,7.5,4377.4,38.2,4.5
17.5,7.5,4289.1,39.4,4.9
17.6,7.5,4246.9,41.6,5.2
17.7,7.6,4236.7,43.3,5.5
17.9,7.6,4242.2,44.7,6
18.1,7.7,4240,44.9,6.9
18.3,7.8,4236.2,44,7.8
18.5,7.9,4231.7,42.5,8.4
18.5,7.9,4249.8,41.2,8.4
18.5,7.9,4276.1,41.3,8.3
18.5,7.9,4287.9,43.6,8.3
18.5,7.9,4279.3,46.6,8.2
18.5,7.9,4244.2,50.6,8.1
18.6,7.9,4159.2,55.5,8
18.7,7.8,4018.6,58.9,7.6
18.7,7.8,3802.1,58.4,7.1
18.6,7.7,3511.9,52.4,6.5
18.5,7.7,3183.8,44.3,6.2
18.4,7.6,2958.8,39.1,5.9
18.3,7.6,2851.5,37.1,5.7
18.3,7.5,2836.2,36.4,5.4
18.2,7.5,2841.4,35.8,5.1
18.1,7.5,2833.6,34.7,4.9
18,7.5,2825.1,33.4,4.8
18,7.5,2857.8,33.3,4.7
18,7.5,2927.4,34.5,4.7
18.1,7.5,3028.7,37.7,4.6
18.2,7.5,3144.1,42.1,4.5
18.3,7.5,3262.8,47.5,4.4
18.5,7.5,3373.5,53.7,4.3
18.6,7.5,3465.3,60.4,4.3
18.6,7.5,3512.2,68.5,4.3
18.7,7.5,3519.8,75.7,4.4
18.6,7.5,3529.3,78.2,4.4
18.6,7.5,3549.4,77.3,4.3
18.5,7.5,3548.2,75.4,4.4
18.3,7.5,3530.2,71.9,4.4
18.2,7.5,3499.8,68.1,4.5
18.1,7.5,3463.9,64.7,4.6
18,7.6,3427.9,62,4.7
17.9,7.6,3416.1,59.5,4.8
17.9,7.6,3442.9,56.8,4.8
17.8,7.5,3525.8,53.8,4.9
17.8,7.5,3658.5,50.9,4.9
17.8,7.5,3745.7,47.9,4.9
17.6,7.5,3750,45.8,4.9
17.5,7.5,3717.3,45.1,4.9
17.3,7.5,3665.7,45.7,4.9
17.3,7.5,3625.2,47,4.9
17.2,7.5,3619.2,48.5,4.9
17.3,7.5,3647.9,50.4,4.9
17.3,7.5,3711.1,53,5
17.5,7.5,3793.1,55.8,5
17.6,7.5,3885.5,58.6,5.1
17.7,7.6,3979.9,61.3,5.1
17.8,7.6,4067.9,63.5,5.1
17.9,7.6,4124.9,64.8,5.2
17.9,7.6,4181.4,65,5
17.9,7.6,4248.8,65.8,4.7
17.9,7.6,4291.4,66.5,4.5
17.8,7.6,4298.9,67.2,4.4
17.8,7.6,4252.5,67.9,4.5
17.7,7.6,4168.6,66.9,4.7
17.6,7.6,4051.2,65.5,4.8
17.5,7.6,3926.6,65.1,4.9
17.4,7.6,3786.5,65.1,5.1
17.3,7.6,3581,65.2,5.3
17.1,7.6,3399.1,65.9,5.4
17,7.6,3141.8,68,5.6
16.9,7.6,2924.4,68.9,5.7
16.9,7.6,2741.1,68.5,5.8
16.9,7.6,2605.8,67,5.8
16.9,7.6,2507.1,65,5.9
17,7.6,2443.8,62.8,5.9
17,7.6,2415,60.6,5.9
17.1,7.6,2421.1,59.5,5.8
17.2,7.5,2454.8,58.8,5.7
17.2,7.5,2511.5,58.4,5.5
17.3,7.5,2586.7,58.2,5.3
17.3,7.5,2675.7,58.1,5.2
17.4,7.5,2774,58,5.1
17.4,7.5,2877,57.7,5
17.5,7.5,2981.7,56.9,5
17.5,7.5,3070.7,56.1,5.2
17.5,7.5,3176.2,54.7,5.2
17.5,7.5,3265.2,52.8,5.4
17.5,7.6,3311.8,50.1,5.7
17.5,7.6,3310.9,46.5,5.8
17.4,7.6,3269.4,43.8,5.8
17.2,7.6,3200.9,40.9,5.8
17.1,7.6,3114.6,38.1,5.8
17,7.6,3030.6,36.3,5.8
16.9,7.6,2949.5,35.8,5.9
16.9,7.6,2863.4,36.2,6
16.9,7.6,2785.8,37.6,6
16.9,7.6,2705.6,38.9,6.1
17,7.6,2630.3,41.1,6.2
17.1,7.6,2597.4,42.9,6.3
17.1,7.6,2621.4,43.9,6.1
17.2,7.5,2707.9,44.7,5.7
17.2,7.5,2810.9,46.5,5.3
17.3,7.5,2912.6,46.7,4.9
17.4,7.5,3023.7,46.6,4.6
17.5,7.5,3143.2,46.3,4.4
