tem,PH,elec,tur,oxy
17.79,7.32,3729.39,36.92,4.29
17.67,7.32,3719.66,36.20,4.12
17.56,7.32,3713.31,35.48,4.07
17.55,7.32,3646.95,33.59,4.13
17.62,7.33,3505.03,32.06,4.41
17.76,7.32,3234.24,30.28,4.92
17.89,7.32,3238.81,31.00,4.97
18.03,7.32,3345.05,30.06,4.97
18.17,7.33,3413.20,29.50,5.43
18.29,7.32,3346.41,29.99,5.90
18.44,7.33,3453.30,33.00,6.54
18.48,7.33,3524.09,35.26,6.42
18.31,7.32,3552.32,34.12,5.29
18.18,7.31,3623.68,34.61,4.35
18.12,7.31,3795.81,37.01,3.79
18.10,7.32,3907.35,40.26,3.38
18.10,7.33,3986.77,44.18,3.04
18.09,7.33,4047.30,48.33,3.07
18.06,7.32,3982.31,52.31,3.41
17.98,7.31,3773.81,56.43,4.11
17.89,7.31,3527.36,55.44,4.27
17.80,7.31,3472.17,51.31,4.13
17.80,7.31,3621.88,45.26,3.70
17.87,7.31,3914.49,42.83,3.25
17.80,7.32,3893.51,40.79,2.98
17.55,7.33,3665.44,37.68,3.00
17.33,7.33,3607.95,35.59,3.21
17.27,7.32,3712.79,35.29,3.38
17.31,7.31,3722.37,34.67,3.72
17.43,7.31,3736.12,35.77,3.84
17.51,7.31,3769.33,37.19,3.53
17.62,7.31,3822.51,38.30,3.43
17.75,7.31,3895.93,38.21,3.41
17.84,7.31,3859.27,40.78,3.74
17.94,7.32,3762.69,45.59,4.25
18.06,7.36,4007.27,54.44,4.89
18.13,7.45,4257.30,61.38,5.56
18.10,7.51,4418.19,65.79,5.97
18.05,7.52,4532.59,67.55,5.44
18.01,7.52,4527.84,68.38,5.18
17.99,7.51,4584.90,66.21,4.69
17.94,7.50,4533.23,62.32,4.58
17.87,7.52,4450.45,54.50,4.77
17.86,7.51,4421.51,47.91,4.71
17.90,7.48,4525.58,50.60,4.23
17.87,7.47,4534.55,50.27,4.01
17.81,7.46,4557.52,46.83,3.99
17.90,7.44,4677.26,43.51,3.55
17.88,7.44,4697.70,40.67,3.61
17.74,7.45,4635.48,38.15,3.63
17.54,7.47,4512.54,36.61,4.04
17.41,7.51,4338.76,36.63,4.73
17.40,7.54,4207.77,38.29,5.15
17.47,7.54,4191.29,42.14,5.28
17.60,7.54,4225.34,44.21,5.16
17.78,7.57,4272.10,47.03,5.36
18.07,7.68,4262.92,47.44,6.63
18.53,7.87,4237.15,45.52,8.51
18.71,7.94,4189.37,42.51,9.16
18.59,7.89,4214.58,38.82,8.49
18.39,7.82,4266.10,37.75,7.97
18.38,7.83,4282.61,41.53,8.08
18.34,7.82,4280.73,43.94,8.09
18.38,7.84,4280.58,48.28,8.12
18.58,7.89,4228.81,57.37,8.28
18.75,7.89,4141.92,65.76,7.89
18.77,7.81,3937.97,67.47,6.98
18.68,7.71,3566.06,55.28,6.22
18.47,7.64,3027.77,38.81,6.00
18.30,7.59,2760.00,32.36,5.91
18.25,7.57,2729.01,34.38,5.82
18.32,7.54,2857.44,37.35,5.40
18.33,7.52,2935.64,38.52,5.01
18.18,7.51,2897.64,37.11,4.78
17.94,7.50,2806.04,33.23,4.80
17.83,7.50,2815.32,31.75,4.76
17.89,7.49,2887.39,30.62,4.76
18.02,7.48,3012.38,32.06,4.63
18.18,7.47,3160.00,35.25,4.47
18.37,7.47,3311.16,40.20,4.32
18.54,7.46,3446.77,46.89,4.21
18.68,7.47,3547.72,55.31,4.16
18.68,7.48,3561.79,68.62,4.25
18.70,7.50,3496.05,81.80,4.55
18.68,7.51,3488.79,82.98,4.64
18.60,7.50,3558.51,78.38,4.22
18.49,7.51,3571.80,75.82,4.25
18.35,7.52,3556.77,70.97,4.34
18.16,7.54,3522.98,65.94,4.57
18.03,7.55,3475.23,62.77,4.70
17.95,7.56,3396.84,61.45,4.77
17.86,7.56,3342.18,60.01,4.75
17.84,7.56,3333.58,57.69,4.84
17.80,7.55,3448.82,54.80,4.90
17.90,7.54,3735.28,51.48,4.90
17.89,7.53,3894.07,47.31,5.00
17.68,7.53,3836.31,44.18,4.91
17.49,7.53,3749.30,43.81,4.84
17.31,7.53,3641.58,45.28,4.84
17.17,7.53,3564.67,47.61,4.94
17.14,7.52,3559.20,48.67,4.93
17.20,7.51,3597.23,49.87,4.79
17.31,7.51,3684.40,52.83,4.78
17.46,7.52,3794.67,56.25,4.80
17.62,7.53,3913.07,59.71,4.86
17.78,7.54,4024.66,62.83,4.95
17.91,7.56,4114.48,65.23,5.07
18.00,7.61,4109.83,66.11,5.56
17.97,7.61,4136.17,63.91,5.26
17.88,7.56,4246.58,64.98,4.60
17.83,7.54,4318.56,65.83,4.30
17.81,7.53,4349.13,67.38,4.14
17.79,7.56,4278.31,70.51,4.42
17.73,7.59,4171.37,67.67,4.86
17.62,7.59,4020.84,64.08,4.92
17.50,7.58,3923.80,64.23,4.86
17.44,7.58,3848.63,64.47,4.96
17.26,7.59,3578.24,63.55,5.41
17.18,7.58,3491.15,63.91,5.29
